Ticker,Name,Currency,Market cap (m),Price,Change,Change %
HILS,HILL & SMITH HLDGS PLC ORD 25P,GBX,"1,063.76","1,350.00",14,1.05%
FXPO,FERREXPO PLC ORD 10P,GBX,"1,801.19",309.2,3.2,1.05%
GNS,GENUS PLC ORD 10P,GBX,"3,487.09","5,395.00",55,1.03%
FRES,FRESNILLO PLC ORD USD0.50,GBX,"7,549.47","1,035.00",10.5,1.03%
HSX,HISCOX LD ORD 6.5P (DI),GBX,"3,297.33",961.2,9.4,0.99%
PSH,PERSHING SQUARE HOLDINGS LTD ORD NPV,GBX,"4,929.74","2,580.00",25,0.98%
DNLM,DUNELM GROUP PLC ORD 1P,GBX,"2,523.07","1,258.00",12,0.96%
WKP,WORKSPACE GROUP PLC ORD GBP1,GBX,"1,317.55",734.5,7,0.96%
LXI,LXI REIT PLC ORD 1P,GBX,651.78,126.2,1.2,0.96%
JDW,WETHERSPOON(J.D.) PLC ORD 2P,GBX,"1,629.98","1,278.00",12,0.95%
PSON,PEARSON PLC ORD 25P,GBX,"5,446.15",729.4,6.8,0.94%
SBRE,SABRE INSURANCE GROUP PLC ORD GBP0.001P,GBX,670,270.5,2.5,0.93%
OXIG,OXFORD INSTRUMENTS PLC ORD 5P,GBX,"1,130.84","1,986.00",18,0.92%
QLT,QUILTER PLC ORD GBP0.07,GBX,"2,780.51",157.8,1.4,0.90%
SMP,ST.MODWEN PROPERTIES PLC ORD 10P,GBX,873.81,396,3.5,0.89%
SLA,STANDARD LIFE ABERDEEN PLC ORD 13 61/63P,GBX,"6,901.55",318.8,2.8,0.89%
GPOR,GREAT PORTLAND ESTATES PLC ORD 15 5/19P,GBX,"1,650.14",655.6,5.6,0.86%
TSCO,TESCO PLC ORD 5P,GBX,"23,876.54",245.9,2.1,0.86%
SRE,SIRIUS REAL ESTATE LD ORD NPV,GBX,982.28,94.1,0.8,0.86%
HSBA,HSBC HLDGS PLC ORD $0.50 (UK REG),GBX,"79,518.30",393.7,3.3,0.85%
GRI,GRAINGER PLC ORD 5P,GBX,"1,823.29",272.8,2.2,0.81%
WTB,WHITBREAD PLC ORD 76 122/153P,GBX,"6,460.78","3,227.00",26,0.81%
NG.,NATIONAL GRID PLC ORD 12 204/473P,GBX,"30,089.89",854.6,6.8,0.80%
GLEN,GLENCORE PLC ORD USD0.01,GBX,"35,262.79",266.65,2,0.76%
SNN,SANNE GROUP PLC ORD GBP0.01,GBX,813.04,556,4,0.73%
TCAP,TP ICAP PLC ORD 25P,GBX,"1,109.21",198.3,1.4,0.71%
CHG,CHEMRING GROUP PLC ORD 1P,GBX,814.71,290,2,0.69%
BRW,BREWIN DOLPHIN HLDGS PLC ORD 1P,GBX,890.77,295.5,2,0.68%
AGR,ASSURA PLC ORD 10P,GBX,"1,977.05",74.5,0.5,0.68%
MDC,MEDICLINIC INTERNATIONAL PLC ORD 10P,GBX,"2,201.41",300.6,2,0.67%
BVIC,BRITVIC PLC ORD 20P,GBX,"2,096.04",790,5,0.64%
LMP,LONDONMETRIC PROPERTY PLC ORD 10P,GBX,"2,052.15",227,1.4,0.62%
SVS,SAVILLS PLC ORD 2.5P,GBX,"1,656.73","1,165.00",7,0.60%
