Code	Name	Currency	Market cap (m)	Price	Change	Change %
OXB	OXFORD BIOMEDICA PLC ORD 50P	GBX	840.20	1,014.00	-6.00	-0.59%
TRY	TR PROPERTY INV TST PLC ORD 25P	GBX	1,259.88	394.50	-2.50	-0.63%
ATST	ALLIANCE TRUST PLC ORD 2.5P	GBX	2,944.41	913.00	-6.00	-0.65%
MGNS	MORGAN SINDALL GROUP PLC ORD 5P	GBX	685.15	1,468.00	-10.00	-0.68%
FRAS	FRASERS GROUP PLC ORD 10P	GBX	2,433.64	465.40	-3.20	-0.68%
CLI	CLS HOLDINGS PLC ORD 2.5P	GBX	892.20	217.50	-1.50	-0.69%
RR.	ROLLS-ROYCE HOLDINGS PLC ORD SHS 20P	GBX	7,781.87	92.36	-0.64	-0.69%
BLND	BRITISH LAND CO PLC ORD 25P	GBX	4,256.39	456.10	-3.20	-0.70%
INVP	INVESTEC PLC ORD GBP0.0002	GBX	1,396.34	199.20	-1.40	-0.70%
SCT	SOFTCAT PLC ORD £0.0005	GBX	3,117.51	1,556.00	-11.00	-0.70%
AVV	AVEVA GROUP PLC ORD 3 5/9P	GBX	10,772.05	3,720.00	-28.00	-0.75%
TIFS	TI FLUID SYSTEMS PLC ORD 1P	GBX	1,394.84	266.05	-2.05	-0.77%
STAN	STANDARD CHARTERED PLC ORD USD0.50	GBX	14,442.69	454.10	-3.50	-0.77%
INDV	INDIVIOR PLC ORD USD0.10	GBX	1,046.76	141.50	-1.10	-0.77%
FERG	FERGUSON PLC ORD 10P	GBX	19,831.29	8,742.00	-70.00	-0.79%
888	888 HOLDINGS PLC ORD 0.5P	GBX	1,155.02	310.50	-2.50	-0.80%
FGT	FINSBURY GROWTH & INCOME TRUST PLC ORD 25P	GBX	1,955.42	868.00	-7.00	-0.80%
BP.	BP PLC $0.25	GBX	53,294.63	259.85	-2.10	-0.80%
LGEN	LEGAL & GENERAL GROUP PLC ORD 2 1/2P	GBX	15,592.72	259.20	-2.10	-0.80%
PLUS	PLUS500 LTD ORD ILS0.01 (DI)	GBX	1,402.18	1,354.50	-11.00	-0.81%
MNDI	MONDI PLC ORD EUR 0.20	GBX	8,725.40	1,782.50	-14.50	-0.81%
ULVR	UNILEVER PLC ORD 3 1/9P	GBX	103,986.59	3,923.00	-32.00	-0.81%
AHT	ASHTEAD GROUP PLC ORD 10P	GBX	17,590.48	3,883.00	-32.00	-0.82%
PTEC	PLAYTECH PLC ORD NPV	GBX	1,428.69	473.30	-4.00	-0.84%
WTAN	WITAN INV TST PLC ORD 5P	GBX	1,874.37	234.00	-2.00	-0.85%
PFG	PROVIDENT FINANCIAL PLC ORD 20 8/11P	GBX	717.73	280.60	-2.40	-0.85%
CMCX	CMC MARKETS PLC ORD 25P	GBX	1,188.27	407.50	-3.50	-0.85%
GSS	GENESIS EMERGING MARKETS FUND LD PTG NPV	GBX	1,139.36	930.00	-8.00	-0.85%
JLEN	JLEN ENVIRONMENTAL ASSETS GROUP LTD ORD NPV	GBX	631.46	114.50	-1.00	-0.87%
RMV	RIGHTMOVE PLC ORD 0.1P	GBX	5,331.16	605.20	-5.40	-0.88%
SGE	SAGE GROUP PLC ORD 1 4/77P	GBX	6,493.93	587.00	-5.40	-0.91%
TBCG	TBC BANK GROUP PLC ORD GBP0.01	GBX	704.89	1,266.00	-12.00	-0.94%
RR.	ROLLS-ROYCE HOLDINGS PLC ORD SHS 20P	GBX	7,781.87	92.12	-0.88	-0.95%
WEIR	WEIR GROUP PLC ORD 12.5P	GBX	5,259.74	2,006.00	-20.00	-0.99%
RAT	RATHBONE BROS PLC ORD 5P	GBX	910.86	1,568.00	-16.00	-1.01%
WIZZ	WIZZ AIR HOLDINGS PLC. ORD GBP0.0001	GBX	4,117.18	4,760.00	-50.00	-1.04%
CCH	COCA-COLA HBC AG ORD CHF6.70 (CDI)	GBX	8,404.94	2,283.00	-24.00	-1.04%
HRI	HERALD INV TST PLC ORD 25P	GBX	1,526.23	2,300.00	-25.00	-1.08%
ITV	ITV PLC ORD 10P	GBX	4,427.95	108.80	-1.20	-1.09%
SSE	SSE PLC ORD 50P	GBX	15,059.31	1,429.00	-16.00	-1.11%
HSV	HOMESERVE PLC ORD 2 9/13P	GBX	3,521.23	1,036.00	-12.00	-1.15%
ROR	ROTORK PLC ORD 0.5P	GBX	3,008.54	340.20	-4.00	-1.16%
III	3I GROUP PLC ORD 73 19/22P	GBX	11,288.64	1,146.50	-13.50	-1.16%
CCR	C&C GROUP PLC ORD EUR0.01	GBX	786.01	249.50	-3.00	-1.19%
SMIN	SMITHS GROUP PLC ORD 37.5P	GBX	5,931.55	1,478.50	-18.00	-1.20%
AVST	AVAST PLC ORD 10P	GBX	5,159.51	495.40	-6.10	-1.22%
FCIT	F&C INVESTMENT TRUST PLC ORD 25P	GBX	4,328.34	797.00	-10.00	-1.24%
SONG	HIPGNOSIS SONGS FUND LD ORD NPV	GBX	1,223.86	119.50	-1.50	-1.24%
CINE	CINEWORLD GROUP PLC ORD 1P	GBX	1,018.89	73.24	-0.98	-1.32%
DRX	DRAX GROUP PLC ORD 11 16/29P	GBX	1,553.10	386.00	-5.20	-1.33%
IMI	IMI PLC ORD 28 4/7P	GBX	3,607.06	1,307.00	-18.00	-1.36%
DC.	DIXONS CARPHONE PLC ORD 0.1P	GBX	1,327.43	112.10	-1.70	-1.49%
VVO	VIVO ENERGY PLC ORD USD0.50	GBX	1,000.88	77.80	-1.20	-1.52%
SMDS	SMITH (DS) PLC ORD 10P	GBX	5,021.58	360.20	-5.60	-1.53%
IAG	INTL CONSOLIDATED AIRLINES GROUP SA ORD EUR0.10 (CDI)	GBX	7,914.59	156.75	-2.45	-1.54%
SAFE	SAFESTORE HOLDINGS PLC ORD 1P	GBX	1,706.46	797.00	-12.50	-1.54%
PRTC	PURETECH HEALTH PLC ORD 1P	GBX	1,097.85	378.00	-6.00	-1.56%
ITRK	INTERTEK GROUP PLC ORD 1P	GBX	9,263.97	5,644.00	-96.00	-1.67%
REL	RELX PLC ORD 14 51/116P	GBX	35,351.84	1,796.50	-33.00	-1.80%
BBGI	BBGI GLOBAL INFRASTRUCTURE S.A. ORD NPV (DI)	GBX	1,169.86	172.80	-3.20	-1.82%
OCDO	OCADO GROUP PLC ORD 2P	GBX	20,562.11	2,696.00	-50.00	-1.82%
AML	ASTON MARTIN LAGONDA GLOBAL HOLDING ORD GBP0.10	GBX	2,452.68	2,095.00	-39.00	-1.83%
HWDN	HOWDEN JOINERY GROUP PLC ORD 10P	GBX	4,401.74	723.60	-13.60	-1.85%
BNZL	BUNZL PLC ORD 32 1/7P	GBX	7,966.81	2,320.00	-44.00	-1.86%
RNK	RANK GROUP PLC ORD 13 8/9P	GBX	653.93	137.00	-2.60	-1.86%
TUI	TUI AG ORD REG SHS NPV (DI)	GBX	3,642.29	325.00	-6.30	-1.90%
HSL	HENDERSON SMALLER COS INV TST PLC ORD 25P	GBX	830.68	1,090.00	-22.00	-1.98%
MRO	MELROSE INDUSTRIES PLC ORDS 48/7P	GBX	8,596.68	173.20	-3.75	-2.12%
INPP	INTERNATIONAL PUBLIC PARTNERSHIP LD ORD 0.01P	GBX	2,820.46	170.20	-3.80	-2.18%
KGF	KINGFISHER PLC ORD 15 5/7P	GBX	5,846.76	270.50	-6.50	-2.35%
JD.	JD SPORTS FASHION PLC ORD 0.25P	GBX	8,546.00	808.80	-19.60	-2.37%
HOC	HOCHSCHILD MINING PLC ORD 25P	GBX	1,202.47	228.40	-5.60	-2.39%
WOSG	WATCHES OF SWITZERLAND GROUP PLC ORD GBP0.0125	GBX	1,633.09	665.00	-17.00	-2.49%
AAF	AIRTEL AFRICA PLC ORD USD0.50	GBX	3,006.52	78.00	-2.00	-2.50%
EVR	EVRAZ PLC ORD USD0.05	GBX	7,628.18	509.80	-13.80	-2.64%
FGP	FIRSTGROUP PLC ORD 5P	GBX	1,007.36	80.25	-2.25	-2.73%
EXPN	EXPERIAN PLC ORD USD0.10	GBX	24,033.09	2,539.00	-81.00	-3.09%
HICL	HICL INFRASTRUCTURE PLC ORD 0.01P	GBX	3,377.80	169.00	-5.40	-3.10%
CCL	CARNIVAL PLC ORD USD 1.66	GBX	2,516.63	1,326.00	-43.00	-3.14%
EZJ	EASYJET PLC ORD 27 2/7P	GBX	3,769.10	798.20	-27.00	-3.27%
XPP	XP POWER LD ORD 1P (DI)	GBX	1,040.64	5,120.00	-180.00	-3.40%
IWG	IWG PLC ORD 1P	GBX	3,619.63	345.40	-14.20	-3.95%
