Code	Name	Currency	Market cap (m)	Price	Change	Change %
HGT	HG CAPITAL TRUST PLC ORD 2.5P	GBX	1,389.44	340.00	6.00	1.80%
GYS	GAMESYS GROUP PLC ORD GBP0.10	GBX	1,475.90	1,372.00	22.00	1.63%
FCSS	FIDELITY CHINA SPEC. SITUATION PLC ORD 1P	GBX	2,391.75	471.50	7.50	1.62%
BKG	BERKELEY GROUP HOLDINGS (THE) PLC ORD SHS 5P	GBX	5,343.85	4,375.00	69.00	1.60%
IMB	IMPERIAL BRANDS PLC ORD 10P	GBX	13,656.67	1,466.00	23.00	1.59%
BATS	BRITISH AMERICAN TOBACCO PLC ORD 25P	GBX	61,841.38	2,738.00	42.50	1.58%
TATE	TATE & LYLE PLC ORD 25P	GBX	3,377.32	732.00	11.00	1.53%
RDW	REDROW PLC ORD 10.5P	GBX	1,972.27	568.50	8.50	1.52%
DPH	DECHRA PHARMACEUTICALS PLC ORD 1P	GBX	3,997.33	3,752.00	56.00	1.52%
Code	Name	Currency	Market cap (m)	Price	Change	Change %
DPH	DECHRA PHARMACEUTICALS PLC ORD 1P	GBX	3,997.33	3,752.00	56.00	1.52%
BATS	BRITISH AMERICAN TOBACCO PLC ORD 25P	GBX	61,841.38	2,736.00	40.50	1.50%
IMB	IMPERIAL BRANDS PLC ORD 10P	GBX	13,656.67	1,464.50	21.50	1.49%
DGE	DIAGEO PLC ORD 28 101/108P	GBX	69,501.09	3,014.50	44.00	1.48%
N91	NINETY ONE PLC ORD £0.0001	GBX	1,437.02	234.20	3.40	1.47%
EMG	MAN GROUP PLC ORD USD0.0342857142	GBX	2,178.83	151.95	2.15	1.44%
PIN	PANTHEON INTERNATIONAL PLC ORD 67P	GBX	1,336.01	2,505.00	35.00	1.42%
LRE	LANCASHIRE HOLDINGS LD COM SHS USD0.50	GBX	1,811.77	753.00	10.50	1.41%
ICP	INTERMEDIATE CAPITAL GROUP PLC ORD 26 1/4P	GBX	5,230.60	1,803.00	25.00	1.41%
CPG	COMPASS GROUP PLC ORD 11 1/20P	GBX	26,026.85	1,479.50	20.50	1.41%
PAGE	PAGEGROUP PLC ORD 1P	GBX	1,518.22	468.40	6.40	1.39%
PZC	PZ CUSSONS PLC ORD 1P	GBX	1,136.12	268.50	3.50	1.32%
VSVS	VESUVIUS PLC ORD 10P	GBX	1,353.36	505.50	6.50	1.30%
BA.	BAE SYSTEMS PLC ORD 2.5P	GBX	15,214.66	478.70	6.10	1.29%
VMUK	VIRGIN MONEY UK PLC ORD GBP0.10	GBX	2,337.27	164.50	2.05	1.26%
UTG	UNITE GROUP PLC ORD 25P	GBX	3,894.41	990.00	12.00	1.23%
JUP	JUPITER FUND MANAGEMENT PLC ORD 2P	GBX	1,623.79	297.20	3.60	1.23%
IBST	IBSTOCK PLC ORD 1P	GBX	884.65	218.60	2.60	1.20%
VEIL	VIETNAM ENTERPRISE INVESTMENTS LIMI ORD USD0.01 (DI)	GBX	1,308.12	610.00	7.00	1.16%
PSN	PERSIMMON PLC ORD 10P	GBX	8,825.68	2,797.00	31.00	1.12%
ERM	EUROMONEY INSTITUTIONAL INVEST.PLC ORD 0.25P	GBX	1,091.80	1,010.00	11.00	1.10%
DIGS	GCP STUDENT LIVING PLC ORD 1P	GBX	670.70	149.00	1.60	1.09%
HILS	HILL & SMITH HLDGS PLC ORD 25P	GBX	1,063.76	1,350.00	14.00	1.05%
FXPO	FERREXPO PLC ORD 10P	GBX	1,801.19	309.20	3.20	1.05%
GNS	GENUS PLC ORD 10P	GBX	3,487.09	5,395.00	55.00	1.03%
FRES	FRESNILLO PLC ORD USD0.50	GBX	7,549.47	1,035.00	10.50	1.03%
HSX	HISCOX LD ORD 6.5P (DI)	GBX	3,297.33	961.20	9.40	0.99%
PSH	PERSHING SQUARE HOLDINGS LTD ORD NPV	GBX	4,929.74	2,580.00	25.00	0.98%
DNLM	DUNELM GROUP PLC ORD 1P	GBX	2,523.07	1,258.00	12.00	0.96%
WKP	WORKSPACE GROUP PLC ORD GBP1	GBX	1,317.55	734.50	7.00	0.96%
LXI	LXI REIT PLC ORD 1P	GBX	651.78	126.20	1.20	0.96%
JDW	WETHERSPOON(J.D.) PLC ORD 2P	GBX	1,629.98	1,278.00	12.00	0.95%
PSON	PEARSON PLC ORD 25P	GBX	5,446.15	729.40	6.80	0.94%
SBRE	SABRE INSURANCE GROUP PLC ORD GBP0.001P	GBX	670.00	270.50	2.50	0.93%
OXIG	OXFORD INSTRUMENTS PLC ORD 5P	GBX	1,130.84	1,986.00	18.00	0.92%
QLT	QUILTER PLC ORD GBP0.07	GBX	2,780.51	157.80	1.40	0.90%
SMP	ST.MODWEN PROPERTIES PLC ORD 10P	GBX	873.81	396.00	3.50	0.89%
SLA	STANDARD LIFE ABERDEEN PLC ORD 13 61/63P	GBX	6,901.55	318.80	2.80	0.89%
GPOR	GREAT PORTLAND ESTATES PLC ORD 15 5/19P	GBX	1,650.14	655.60	5.60	0.86%
TSCO	TESCO PLC ORD 5P	GBX	23,876.54	245.90	2.10	0.86%
SRE	SIRIUS REAL ESTATE LD ORD NPV	GBX	982.28	94.10	0.80	0.86%
HSBA	HSBC HLDGS PLC ORD $0.50 (UK REG)	GBX	79,518.30	393.70	3.30	0.85%
GRI	GRAINGER PLC ORD 5P	GBX	1,823.29	272.80	2.20	0.81%
WTB	WHITBREAD PLC ORD 76 122/153P	GBX	6,460.78	3,227.00	26.00	0.81%
NG.	NATIONAL GRID PLC ORD 12 204/473P	GBX	30,089.89	854.60	6.80	0.80%
GLEN	GLENCORE PLC ORD USD0.01	GBX	35,262.79	266.65	2.00	0.76%
SNN	SANNE GROUP PLC ORD GBP0.01	GBX	813.04	556.00	4.00	0.73%
TCAP	TP ICAP PLC ORD 25P	GBX	1,109.21	198.30	1.40	0.71%
CHG	CHEMRING GROUP PLC ORD 1P	GBX	814.71	290.00	2.00	0.69%
BRW	BREWIN DOLPHIN HLDGS PLC ORD 1P	GBX	890.77	295.50	2.00	0.68%
AGR	ASSURA PLC ORD 10P	GBX	1,977.05	74.50	0.50	0.68%
MDC	MEDICLINIC INTERNATIONAL PLC ORD 10P	GBX	2,201.41	300.60	2.00	0.67%
BVIC	BRITVIC PLC ORD 20P	GBX	2,096.04	790.00	5.00	0.64%
LMP	LONDONMETRIC PROPERTY PLC ORD 10P	GBX	2,052.15	227.00	1.40	0.62%
SVS	SAVILLS PLC ORD 2.5P	GBX	1,656.73	1,165.00	7.00	0.60%
RDSA	ROYAL DUTCH SHELL PLC 'A' ORD EUR0.07	GBX	56,006.53	1,373.80	8.20	0.60%
BGS	BAILLIE GIFFORD SHIN NIPPON PLC ORD 2P	GBX	760.54	251.50	1.50	0.60%
JFJ	JPMORGAN JAPANESE INV. TRUST PLC ORD 25P	GBX	1,137.16	716.00	4.00	0.56%
FUTR	FUTURE PLC ORD 15P	GBX	1,803.48	1,850.00	10.00	0.54%
AJB	AJ BELL PLC ORD GBP0.000125	GBX	1,892.27	463.50	2.50	0.54%
BRWM	BLACKROCK WORLD MINING TRUST PLC ORD 5P	GBX	987.50	572.00	3.00	0.53%
VEC	VECTURA GROUP PLC ORD 0.0271P	GBX	687.74	116.00	0.60	0.52%
TALK	TALKTALK TELECOM GROUP PLC ORD 0.1P	GBX	1,105.58	96.95	0.50	0.52%
RTO	RENTOKIL INITIAL PLC ORD 1P	GBX	9,464.52	513.00	2.60	0.51%
INCH	INCHCAPE PLC ORD 10P	GBX	2,717.53	694.50	3.50	0.51%
HL.	HARGREAVES LANSDOWN PLC ORD 0.4P	GBX	7,717.16	1,635.00	8.00	0.49%
RDSB	ROYAL DUTCH SHELL PLC 'B' ORD EUR0.07	GBX	48,373.11	1,311.60	6.40	0.49%
JMG	JPMORGAN EMERGING MKTS INV TRST PLC ORD 2.5P	GBX	1,738.64	146.80	0.70	0.48%
RSW	RENISHAW PLC ORD 20P	GBX	4,607.51	6,360.00	30.00	0.47%
GSK	GLAXOSMITHKLINE PLC ORD 25P	GBX	63,893.95	1,276.00	6.00	0.47%
APAX	APAX GLOBAL ALPHA LIMITED ORD NPV	GBX	1,043.59	213.50	1.00	0.47%
NWG	NATWEST GROUP PLC ORD 100P	GBX	20,934.99	173.40	0.80	0.46%
DLG	DIRECT LINE INSURANCE GROUP PLC ORD 10 10/11P	GBX	4,150.97	305.60	1.40	0.46%
SXS	SPECTRIS PLC ORD 5P	GBX	3,602.62	3,113.00	14.00	0.45%
MKS	MARKS & SPENCER GROUP PLC ORD 25P	GBX	2,625.52	134.80	0.60	0.45%
ABF	ASSOCIATED BRITISH FOODS PLC ORD 5 15/22P	GBX	17,931.42	2,275.00	10.00	0.44%
SMT	SCOTTISH MORTGAGE INV TST PLC ORD 5P	GBX	19,707.09	1,377.00	6.00	0.44%
SGRO	SEGRO PLC ORD 10P	GBX	11,455.84	965.60	4.20	0.44%
BBOX	TRITAX BIG BOX REIT PLC ORD 1P	GBX	3,144.31	183.70	0.80	0.44%
IEM	IMPAX ENVIRONMENTAL MARKETS PLC ORD 10P	GBX	1,308.60	486.00	2.00	0.41%
SYNT	SYNTHOMER PLC ORD 10P	GBX	1,910.98	451.60	1.80	0.40%
PAG	PARAGON BANKING GROUP PLC ORD 100P	GBX	1,159.29	453.40	1.80	0.40%
IGG	IG GROUP HOLDINGS PLC ORD 0.005P	GBX	2,782.80	754.50	3.00	0.40%
FOUR	4IMPRINT GROUP PLC ORD 38 6/13P	GBX	710.56	2,540.00	10.00	0.40%
CBG	CLOSE BROS GROUP PLC ORD 25P	GBX	2,306.10	1,536.00	6.00	0.39%
IHP	INTEGRAFIN HOLDINGS PLC ORD 1P	GBX	1,752.69	531.00	2.00	0.38%
IPO	IP GROUP PLC ORD 2P	GBX	1,126.09	106.40	0.40	0.38%
ADM	ADMIRAL GROUP PLC ORD 0.1P	GBX	8,654.51	2,928.00	11.00	0.38%
DOM	DOMINO'S PIZZA GROUP PLC ORD 25/48P	GBX	1,578.59	337.80	1.20	0.36%
AGK	AGGREKO PLC ORD 4 329/395P	GBX	2,179.65	854.00	3.00	0.35%
VOD	VODAFONE GROUP PLC ORD USD0.20 20/21	GBX	35,528.63	132.86	0.46	0.35%
PNN	PENNON GROUP PLC ORD 40.7P	GBX	3,864.56	918.60	3.00	0.33%
CNE	CAIRN ENERGY PLC ORD 21/13P	GBX	913.37	183.60	0.60	0.33%
JTC	JTC PLC ORD GBP0.01	GBX	771.89	632.00	2.00	0.32%
AVON	AVON RUBBER PLC ORD #1	GBX	983.44	3,180.00	10.00	0.32%
KNOS	KAINOS GROUP PLC ORD 0.5P	GBX	1,633.58	1,336.00	4.00	0.30%
CWK	CRANSWICK PLC ORD 10P	GBX	1,826.60	3,482.00	10.00	0.29%
BME	B&M EUROPEAN VALUE RETAIL S.A. ORD 10P (DI)	GBX	5,640.13	565.20	1.60	0.28%
OSB	OSB GROUP PLC ORD 304P	GBX	1,907.34	427.60	1.20	0.28%
PHP	PRIMARY HEALTH PROPERTIES PLC ORD 12.5P	GBX	1,940.13	146.60	0.40	0.27%
KAZ	KAZ MINERALS PLC ORD 20P	GBX	3,809.19	808.40	2.20	0.27%
USA	BAILLIE GIFFORD US GROWTH TRUST PLC ORD GBP0.01	GBX	1,103.95	373.00	1.00	0.27%
QQ.	QINETIQ GROUP PLC ORD 1P	GBX	1,740.00	303.80	0.80	0.26%
VCT	VICTREX PLC ORD 1P	GBX	2,003.92	2,316.00	6.00	0.26%
MRW	MORRISON(WM.)SUPERMARKETS PLC ORD 10P	GBX	4,176.02	173.75	0.45	0.26%
HIK	HIKMA PHARMACEUTICALS PLC ORD SHS 10P	GBX	5,324.53	2,316.00	6.00	0.26%
JLG	JOHN LAING GROUP PLC ORD 10P	GBX	1,582.35	321.60	0.80	0.25%
HTWS	HELIOS TOWERS PLC ORD 1P	GBX	1,712.00	171.60	0.40	0.23%
